order,family,life_history,aquatic_life_stage_habitat,common_name,Tim_and_Danielle_difference,sources,Tim_notes,Danielle_notes,,,,,,,,,,,
Trombidiformes,Pionidae,aquatic,,Water mites,"Danielle not sure, Tim says aquatic; going with aquatic.",https://www-cambridge-org.proxy.library.cornell.edu/core/journals/memoirs-of-the-entomological-society-of-canada/article/study-of-the-systematics-of-the-water-mite-family-pionidae-prostigmata-parasitengona/54485EC0400FD4498632FA502E39644C; https://en.wikipedia.org/wiki/Pionidae,aquatic,Really not sure about this one,,,,,,,,,,,
Diptera,Pipunculidae,terrestrial,,Big-headed flies,,https://bugguide.net/node/view/67160,,Larvae are parasitic,,,,,,,,,,,
Araneae,Pisauridae,terrestrial,,Nursery web spiders,,https://bugguide.net/node/view/1963,terrestrial,,,,,,,,,,,,
Diptera,Platystomatidae,terrestrial,,Signal flies,,https://en.wikipedia.org/wiki/Platystomatidae; https://bugguide.net/node/view/98,,,,,,,,,,,,,
Trichoptera,Polycentropodidae,aquatic,,Tube-maker caddisflies,,https://bugguide.net/node/view/52929; https://en.wikipedia.org/wiki/Polycentropodidae,,,,,,,,,,,,,
Hymenoptera,Psenidae,terrestrial,,Aphid wasp,,https://en.wikipedia.org/wiki/Psenini,terrestrial,Parasitic wasps; classification is questioned in literature. I am guessing terrestrial,,,,,,,,,,,
Coleoptera,Psephenidae,aquatic,,Water penny beetles,,https://bugguide.net/node/view/36129,,,,,,,,,,,,,
Psocoptera/Psocodea,Psocidae,terrestrial,,Common barklice,,https://bugguide.net/node/view/83277,should be terrestrial?,Habitat is listed as fully terrestrial on Bug Guide without delineation between adults and immatures.,,,,,,,,,,,
Lepidoptera,Psychidae,terrestrial,,Bagworm moth,,https://bugguide.net/node/view/122,,,,,,,,,,,,,
Diptera,Psychodidae,aquatic,,Moth flies and sand flies,"Danielle not sure, Tim says they are either aquatic or very close to aquatic. Going with aquatic.",https://bugguide.net/node/view/3128,"Psychodids are kind of famous for being found around shower drains and such, they're either aquatic or they're in wet dense organic slushy places",Not totally clear if larvae might sometimes be in aquatic habitats?,,,,,,,,,,,
Trichoptera,Psychomyiidae,aquatic,,Net Tube Caddisflies,,https://seetolearn.weebly.com/uploads/4/6/7/4/46744079/trichoptera_order_sheet.pdf,,,,,,,,,,,,,
Hymenoptera,Pteromalidae,terrestrial,,Pteromalid wasps,,https://bugguide.net/node/view/16408,"At least a few attack aquatic hosts, but probably rare",Parasitoid wasps,,,,,,,,,,,
